n,r,m
(:Component {id: BaseConnector}),[:ATTACHED_TO],(:Component {id: BaseCover})
(:Component {id: BaseConnector}),[:BLOCKED_BY],(:Component {id: BaseCover})
(:Component {id: BaseConnector}),[:HAS_SAFETY_RISK],"(:SafetyRisk {id: SafetyRisk:High, value: High})"
(:Component {id: BaseConnector}),[:HAS_RECYCLABILITY],"(:Recyclability {id: Recyclability:mixed material, value: mixed material})"
(:Component {id: BaseConnector}),[:HAS_IMPORTANCE],"(:Importance {id: Importance:High, value: High})"
(:Component {id: BaseConnector}),[:HAS_DISASSEMBLY_COST],"(:DisassemblyCost {id: DisassemblyCost:Medium, value: Medium})"
(:Component {id: BaseConnector}),[:HAS_FUNCTION],"(:Function {id: Function:structural, value: structural})"
(:Component {id: BaseCover}),[:HAS_SAFETY_RISK],"(:SafetyRisk {id: SafetyRisk:low, value: low})"
(:Component {id: BaseCover}),[:HAS_RECYCLABILITY],"(:Recyclability {id: Recyclability:low, value: low})"
(:Component {id: BaseCover}),[:HAS_IMPORTANCE],"(:Importance {id: Importance:low, value: low})"
(:Component {id: BaseCover}),[:HAS_DISASSEMBLY_COST],"(:DisassemblyCost {id: DisassemblyCost:Medium, value: Medium})"
(:Component {id: BaseCover}),[:HAS_FUNCTION],"(:Function {id: Function:structural, value: structural})"
(:Component {id: BottomCover}),[:HAS_SAFETY_RISK],"(:SafetyRisk {id: SafetyRisk:low, value: low})"
(:Component {id: BottomCover}),[:HAS_RECYCLABILITY],"(:Recyclability {id: Recyclability:low, value: low})"
(:Component {id: BottomCover}),[:HAS_IMPORTANCE],"(:Importance {id: Importance:low, value: low})"
(:Component {id: BottomCover}),[:HAS_DISASSEMBLY_COST],"(:DisassemblyCost {id: DisassemblyCost:Medium, value: Medium})"
(:Component {id: BottomCover}),[:HAS_FUNCTION],"(:Function {id: Function:structural, value: structural})"
(:Component {id: FilterHolder}),[:ATTACHED_TO],(:Component {id: LidRing})
