p
"(:Action {id: RemoveBaseConnector, target: BaseConnector})-[:STEP_BEFORE]->(:Action {id: RemoveWires, target: Wires})"
"(:Action {id: RemoveBaseCover, target: BaseCover})-[:STEP_BEFORE]->(:Action {id: RemoveBaseConnector, target: BaseConnector})"
"(:Action {id: RemoveBottomCover, target: BottomCover})-[:STEP_BEFORE]->(:Action {id: RemoveRedCasing, target: RedCasing})"
"(:Action {id: RemoveFilterHolder, target: FilterHolder})-[:STEP_BEFORE]->(:Action {id: RemoveHandle, target: Handle})"
"(:Action {id: RemoveHandle, target: Handle})-[:STEP_BEFORE]->(:Action {id: RemoveHandleSwitch, target: HandleSwitch})"
"(:Action {id: RemoveHandleSwitch, target: HandleSwitch})-[:STEP_BEFORE]->(:Action {id: RemovePlasticRing, target: PlasticRing})"
"(:Action {id: RemoveLEDWire, target: LEDWire})-[:STEP_BEFORE]->(:Action {id: RemoveSwitch, target: Switch})"
"(:Action {id: RemoveLidRing, target: LidRing})-[:STEP_BEFORE]->(:Action {id: RemoveFilterHolder, target: FilterHolder})"
"(:Action {id: RemovePlasticRing, target: PlasticRing})-[:STEP_BEFORE]->(:Action {id: RemoveBottomCover, target: BottomCover})"
"(:Action {id: RemoveRedCasing, target: RedCasing})-[:STEP_BEFORE]->(:Action {id: RemoveRubberFilling, target: RubberFilling})"
"(:Action {id: RemoveRubberFilling, target: RubberFilling})-[:STEP_BEFORE]->(:Action {id: RemoveLEDWire, target: LEDWire})"
"(:Action {id: RemoveSwitch, target: Switch})-[:STEP_BEFORE]->(:Action {id: RemoveThermostat, target: Thermostat})"
"(:Action {id: RemoveWires, target: Wires})-[:STEP_BEFORE]->(:Action {id: RemoveLidRing, target: LidRing})"
