from,to
1st Gear,1st Gear Needle Roller Bearing
1st Gear Bearing Spacer,1st Gear Thrust Washer
1st Gear Needle Roller Bearing,1st Gear Bearing Spacer
1st Gear Thrust Washer,1st Gear Thrust Washer Pin
1st Gear Thrust Washer,Output Shaft Center Bearing
2nd Gear,2nd Gear Needle Roller Bearing
3rd Gear,3rd Gear Needle Roller Bearing
3rd Gear Needle Roller Bearing,Output Shaft
5th Gear,Output Shaft Bearing Shaft Snap Ring
5th Gear,Output Shaft Bearing Snap Ring
5th Gear Group,5th Gear
5th Gear Group,Output Shaft Bearing Snap Ring
5th Gear Group,Output Shaft Center Bearing
5th Gear Thrust Washer,Counter 5th Gear Bearing
5th Gear Thrust Washer Pin,5th Gear Thrust Washer
Bearing Shaft Snap Ring,Reverse Gear
Clutch Hub Set Shaft Snap Ring,Synchromesh Shifting Key Spring
Counter 5th Gear Bearing,Counter 5th Gear
Counter Gear Assembly,5th Gear Thrust Washer
Counter Gear Assembly,Counter 5th Gear
Counter Gear Assembly,Counter 5th Gear Bearing
Counter Gear Assembly,Counter Gear
Counter Gear Assembly,Counter Gear Front Bearing
Counter Gear Assembly,Counter Gear Front Bearing Snap Ring No.2
Counter Gear Assembly,Counter Gear Rear Shaft Snap Ring
Counter Gear Assembly,Counter Shaft Center Bearing
Counter Gear Assembly,Gear Spline Piece No.5
Counter Gear Front Bearing Snap Ring No.2,Counter Gear Front Bearing
Counter Shaft,Intermediate Plate
First Gear Stage,1st Gear
First Gear Stage,1st Gear Bearing Spacer
First Gear Stage,1st Gear Needle Roller Bearing
First Gear Stage,1st Gear Thrust Washer
First Gear Stage,1st Gear Thrust Washer Pin
First Gear Stage,Synchronizer Ring Set No.1 Second
Front Bearing Shaft Snap Ring,Input Shaft Front Bearing
Gear Spline Piece No.5,Counter Gear Rear Shaft Snap Ring
Input Shaft,Intermediate Plate
Input Shaft Assembly,Front Bearing Shaft Snap Ring
Input Shaft Assembly,Input Shaft
Input Shaft Assembly,Input Shaft Front Bearing
Input Shaft Bearing,Clutch Hub Set Shaft Snap Ring
Input Shaft Front Bearing,Input Shaft
Intermediate Plate,Counter Gear
Intermediate Plate,Counter Shaft Center Bearing
Intermediate Plate,Counter Shaft Hole
